,app_name,at,content,score,sentiment,word_count
23,FollowMyHealth,2019-11-19 11:46:10,Great app. Updates fast and you have everything at your finger tip,5.0,data quality,12.0
24,MyChart,2018-10-12 01:11:14,"I Love It All , Keeps Me Updated So I Can Keep On Track And Time",5.0,data quality,16.0
25,FollowMyHealth,2020-02-09 21:49:06,"Helps me keep track of exactly what is happening with my complicated medical history, meds and tests between many different practitioners",5.0,data quality,21.0
26,healow,2020-01-30 09:33:10,"I love it. View your appointments, lab results, doctor visits summary, meds, vitals and more.",5.0,data quality,15.0
27,MyChart,2023-10-11 09:19:14,Great app. Helps me keep track of all my health needs/appointments.,5.0,data quality,11.0
28,MyQuest,2022-01-05 10:56:40,Helpful to keep your results available all in one place and being able to see results before physical visit,5.0,data quality,19.0
29,Ada,2017-12-17 09:49:14,Accurate and simple enough for anyone to use.,5.0,reliability,8.0
30,AdventHealth,2021-06-03 17:29:48,Updated the app. Stuck in a loop. Cant access anything. Brutal,1.0,reliability,11.0
31,FollowMyHealth,2017-01-05 20:29:48,Helps me follow all medical information from one spot.,5.0,data quality,9.0
32,MyQuest,2021-02-25 07:51:14,Helps in keeping track of all your blood tests,5.0,data quality,9.0
33,My Health at Vanderbilt,2023-11-16 09:34:39,"Easy to communicate with providers, refill a medication, and take an active role in your own Healthcare",5.0,data control,17.0
34,MyChart,2022-07-12 19:55:13,Helps you keep up with your appointment and meds. It gives you you test results.,4.0,data quality,15.0
35,MyChart,2021-12-09 17:47:12,"Very Comprehensive, easy interface, clean app. Great tool to manage healthcare.",5.0,reliability,11.0
36,MyChart,2022-02-27 07:48:28,Helpful to have records that I am able to access when another Doctor needs to see.,4.0,data control,16.0
37,healow,2020-07-06 16:48:32,"Extremely Helpful. Life gets busy and hectic. This app helps make my life easier by keeping track of all mine and my daughter's info, appointments, vitals, medications, lab results, referrals, etc.",5.0,data quality,31.0
38,FollowMyHealth,2019-08-28 12:39:56,"Helps keeps me organized in regards to my appts, labs/tests both scheduling and receiving results prior to doctors office calling with them. Great Patient App to keep up with your Health Providers.",5.0,data control,32.0
39,FollowMyHealth,2017-07-27 10:09:43,"Helps me keep track of my health conditions, medications,  appointments and everything related to my health",5.0,data quality,16.0
40,Teladoc Health,2024-03-13 22:54:44,Helped alot more than I even expected! Great app!,5.0,reliability,9.0
41,MyChart,2023-10-11 16:18:49,Good. Screenshots should not be blocked. Not required by HIPAA.,4.0,ethicality,10.0
42,MDLive,2018-09-05 20:47:42,Why can I not just enter the birthdate?? U really expect me to arrow thru 60 years x 12 months per year ??? Fix it and I will use the app.,1.0,support,31.0
43,Medical Records,2023-01-30 03:51:20,"App is very good, and if Patient age added by years instead of birth date it would be great, thanks",4.0,support,20.0
44,FollowMyHealth,2018-05-16 09:34:53,Helps me keep me updated on my health,5.0,data quality,8.0
45,Mayo Clinic,2017-06-04 19:42:49,Handy.  Eliminates pages if paper.  You should print   Appointment schedule in case WiFi connection fails.,5.0,risk,15.0
46,Practo,2019-12-05 20:24:16,This app is for doctors or patients? Patients right. Why few the comments in patients experience is hidden? Is it to protect doctor?,1.0,ethicality,23.0
47,Ada,2017-09-17 14:53:54,After so many years of use of PlayStore just got the app which is so Useful and Accurate,5.0,data quality,18.0
48,FollowMyHealth,2023-06-16 15:59:01,"Efficient and effective. I want functionality and performance, THIS APP does that.",5.0,reliability,12.0
49,Telehealth by SimplePractice,2020-04-23 14:00:41,The app is easy to use. Clear instructions.,5.0,support,8.0
50,healow,2022-08-17 09:05:14,Update of results are pretty much non existent,3.0,data quality,8.0
51,Mayo Clinic,2021-08-06 08:32:02,"Very easy to follow and use, except for electronic signatures. Support available if needed.",5.0,support,14.0
52,MyChart,2024-03-13 04:12:08,I love it except that it NO LONGER shows appt times just the dates. Fix that issue ASAP.. I have mentioned it to my doctors before however not sure what they can do about it.,4.0,data quality,35.0
53,MyChart,2016-12-09 10:43:55,I can't remember my username but it doesn't have an option to change your username or password. I'm just stuck. Help!,2.0,support,21.0
54,healow,2023-09-25 14:25:55,"Edit: Got into the app, figured out the doctor, but still learning to navigate it all. Will Edit again in the future and adjust stars accordingly.",2.0,support,26.0
55,Doctor on Demand,2016-03-26 15:22:06,Stop asking details in the name of sign-up. Bullshit app. 😈😈😈😈😈,1.0,risk,11.0
56,LiveHealth Online Mobile,2021-03-07 11:54:55,"Complete waste of my money, they charged me for them to tell me to go see my primary care doctor!",1.0,ethicality,20.0
57,HealthTap,2012-05-01 15:39:47,Help so I don't have to call and wait for a doctor to call back.,5.0,support,15.0
58,MyQuest,2021-10-17 11:25:10,Deleted app. Waste of time. Never verified that I added my daughter and locked my account for over a week.,1.0,data control,20.0
59,FollowMyHealth,2021-09-09 10:22:21,Fair. We need a video showing us how you use the app once installed,3.0,support,14.0
60,My Health at Vanderbilt,2023-03-12 10:04:06,Passcode is a big plus. Streamlined the log in process,5.0,reliability,10.0
61,Practo,2021-04-12 02:37:11,Delayed service. Poor customer service. Unable to connect to doctor despite taking plus plan and trying multiple times.,1.0,support,18.0
62,Practo,2023-10-28 06:30:19,Doctor cancelled and i didnt even get my mkloney back. 1500 rs wasted. Help and dont support dont do amything. Dont use this app,1.0,ethicality,24.0
63,Doctor on Demand,2015-01-19 11:41:20,"Fantastic idea and it really works! Love it!                                        Update, 1/19/2015 again as before, excellent service! Thanks again!",5.0,reliability,17.0
64,Teladoc Health,2022-08-22 08:24:25,"Fast, professional and free service! Beats having to make an appointment and travel. Effective and efficient.",5.0,reliability,16.0
65,FollowMyHealth,2024-01-04 12:18:18,Helpful features. User friendly app. Facilitates convenience in reaching to an individual 's medical facilities:),5.0,reliability,15.0
66,healow,2022-01-05 08:22:08,Helps me remember when I've got appointments and now I don't have to bring all my meds or write it down whenever I go to a new place that needs my meds especially love THAT,5.0,data quality,35.0
67,Teladoc Health,2022-02-20 11:48:37,Smooth operation for fling out and completing everything,5.0,reliability,8.0
68,FollowMyHealth,2018-11-30 15:37:49,Helpful and easy to use! Able to add my son to my account which is super convenient.,5.0,data control,17.0
69,Practo,2018-03-11 03:50:42,Helpful app. Listings are good. Locations are a bit of a problem.,5.0,data quality,12.0
70,FollowMyHealth,2017-03-04 09:11:32,"This app has everything I need.  Updates, alerts, and communication.",5.0,data quality,10.0
71,FollowMyHealth,2020-01-06 10:06:00,Easy to communicate with doctors and get my medical information,5.0,data control,10.0
72,MyChart,2013-09-19 13:20:19,Full features require the website but this app is handy.,5.0,reliability,10.0
73,Practo,2018-04-07 12:07:50,Permission issue      I dont understand why this app needs permission to access media gallery photos and camera???     This is not makeup app.,1.0,risk,22.0
74,healow,2022-09-20 08:35:25,Misleading I thought it was my physicians new site. Can't remove my account so far,1.0,data control,15.0
75,healow,2022-09-15 16:11:02,Helps immensely watching over my results as the tests are happening. Everything is so easy to understand,5.0,data quality,17.0
76,MDLive,2020-03-06 08:55:10,All the doctors have been helpful and quick with thier assessment of all of my family members. They are professional. Customer service has also been very helpful with very little wait time.,5.0,support,32.0
77,Practo,2016-05-13 00:38:21,The App doesn't have download feature to pull invoices and treatment plans.Customer care(online chat) were not able to provide alternative for this .How would a person claim insurance etc. ?,2.0,support,30.0
78,MyChart,2020-12-30 18:01:35,I just installed it and it wont' let me in. Message says I need to update my version. Which is not available. Customer service sucks.,2.0,support,25.0
79,MyChart,2021-11-26 20:13:40,Cannot delete messages or notices that are no longer relevant.,2.0,data control,10.0
80,HealtheLife,2020-09-09 13:22:05,Helps keep up with your medical needs while we are all going through these trying times,5.0,data quality,16.0
81,FollowMyHealth,2017-09-18 14:58:57,"Very easy to use. Updated very promptly to stay current with appointments, diagnoses and prescriptions.",5.0,data quality,15.0
82,MyQuest,2023-03-14 18:09:39,Results never seem to be loaded. Current most recent results for me are January of 2022 and I've had at least two more labs run since then.,2.0,data quality,27.0
83,MyChart,2023-07-27 07:09:19,Loving the app. Helps me remind myself of the appointments.,5.0,data quality,10.0
84,Practo,2015-09-23 23:21:14,Completely waste application. Never book an appointment on it. Do it yourself. Directly call hospital and book.,1.0,reliability,17.0
85,FollowMyHealth,2019-07-22 22:13:31,incredibly simple to use app. Intuitive design and stats and appointments are readily available.,5.0,reliability,14.0
86,healow,2017-11-03 08:53:33,Helps me keep up with reaults and appointments,5.0,data quality,8.0
87,FollowMyHealth,2020-01-02 12:52:31,"Easy to navigate, read test results, and very good for schedule reminders. Helpful information regarding medical issues, results, medication prescribed by your MD.",5.0,data quality,23.0
88,FollowMyHealth,2019-09-10 19:26:38,Updates are always done quickly and thoroughly. My test results are clear and concise.,5.0,data quality,14.0
89,Amwell ,2018-01-17 11:03:29,It worked well. The whole sign up through getting treatment took under an hour. The app even handled the insurance. Correctly!,4.0,reliability,21.0
90,FollowMyHealth,2019-06-16 20:54:23,"Excellent! One of the best apps I've ever used. Easy to communicate with our Doctor, we have all of our charts and conditions at our fingertips. 5 stars plus! Well done!",5.0,data control,31.0
91,healow,2022-06-09 07:31:57,"Professional, concise & swift. Easy interface to navigate!",5.0,reliability,8.0
92,APPatient,2024-02-29 20:31:07,Terrible. Unfriendly. Cumbersome. Horrible App. Ridiculous to require patient to use this junk to access info !,1.0,data control,17.0
93,Practo,2014-08-25 15:27:15,Update the list of doctors even for Tier 2 and  3 cities also...,3.0,support,13.0
94,FollowMyHealth,2018-12-04 20:06:18,Helps me to stay up to speed on my records and encourages me to take better care of my health with the knowledge of people who give great information to do so.,5.0,data quality,32.0
95,MyChart,2016-12-06 10:22:40,Great app.  Helpful and had all my info from my Dr right there!!!  Easy to figure out and move arund in,5.0,data quality,21.0
96,MyChart,2024-03-11 12:37:06,Very efficient! Easy to use. Notifications are great and easy to respond to. Update info easily. Great app!,5.0,data control,18.0
97,MyChart,2023-01-04 10:57:52,"Efficient and easy to use. Great app for managing my health information,appointments, viewing test results, etc.",5.0,data quality,16.0
98,Doctor on Demand,2024-03-21 14:08:00,Easy to access. Understanding and professional. Thank you!,5.0,reliability,8.0
99,healow,2019-01-01 10:04:51,Love the app. Helps me to keep up with my appointments and track my meds.,5.0,data quality,15.0
100,Telehealth by SimplePractice,2020-08-30 16:37:33,I use this app in a HIPAA compliant format and it is excellent. I feel quite safe with my clients.,4.0,reliability,20.0
101,MyQuest,2023-11-07 07:00:58,"Very easy to use, quick entry and sign in. Professional folks, easy and quick on line results.",5.0,reliability,17.0
102,MyChart,2024-02-06 16:01:48,"Love this app. Helps me keep up on my medical info, reorder medications, send messages to my providers.",5.0,data quality,18.0
103,healow,2017-04-28 09:49:37,The ability to Edit is an absolute necessity to recording accurate information. Edit is not available when entering drugs. The name of the doctor ordering drugs should be visible to both patient & doctor.,3.0,reliability,34.0
104,FollowMyHealth,2018-10-18 11:14:45,Helpful to staying in track of my health.,5.0,data quality,8.0
105,Ada,2021-11-07 00:54:58,"Helpful for those who have studied biology in O level, health terminology is the big problem",4.0,support,16.0
106,MyChart,2022-01-20 21:13:57,"Update: I came back to give this app 5 stars. Love the new look and lay out, much easier to navigate and keep up with all my appointments. Keep up the great work.",5.0,data quality,33.0
107,healow,2018-07-26 05:27:52,"Helps track doctors, appointments, lab work and medicines.",5.0,data quality,8.0
108,MyChart,2021-01-11 08:26:01,Did not know there was a Tech Support person to help after that I was OK thank you,4.0,support,18.0
109,Doctor on Demand,2022-11-02 10:35:41,"This is real help. Manage appointments, get prescriptions, and they take insurance. My life has improved greatly from the availability of this service",5.0,data quality,23.0
110,Practo,2020-06-17 06:33:08,The app has helped me out. A Complete Refund has been provided to me . Plus a coupon from them. Thankyou .,3.0,support,22.0
111,FollowMyHealth,2017-04-20 10:12:02,Help me keep up on appointments and things I need to know,5.0,data quality,12.0
112,MyChart,2024-01-21 15:45:40,"Very quick reference for checking all of my medical info - charting, visits, prescriptions - as well as having a great exchange on message board with my providers. Efficient & convenient",5.0,data quality,31.0
113,MyChart,2022-11-07 11:58:02,Effective and convenient way to keep up with medical and open communication with your doctor and all information medical related.,5.0,data quality,20.0
114,healow,2021-04-14 14:04:07,"App. Not Updated With Patient Appointments, No follow-ups, etc....Poor Phone communications between Dr.Office vs. Customer is not supported by App.",2.0,data quality,20.0
115,Practo,2022-05-10 02:56:46,Appointment is canceled four days before but no refund till now..Help center is saying please wait for three more days or else go to bank ..Practo is only app is saying go to bank ...,1.0,support,35.0
116,FollowMyHealth,2019-06-20 13:54:31,"Helpful, but I just wish the updates to appointments etc would go to my inbox.",4.0,data quality,15.0
117,healow,2022-07-31 18:55:03,"Completely useless app. I'm this day and age you'd think apps are compatible with a password manager. Not only is it not compatible, but you can't even paste your password. Get with the times!",1.0,reliability,34.0
118,MyChart,2024-07-04 06:02:54,Fairly helpful when keeping up with appointments. Notifications not just the day of but also throughout a week prior,4.0,data quality,19.0
119,FollowMyHealth,2021-10-18 15:08:17,Full of information easy to use Updated regularly.,5.0,data quality,8.0
120,MyChart,2024-03-05 05:55:16,I Love This App. ❤️ It Helps Me Keep Track Of Doctor Appointments.,5.0,data quality,13.0
121,healow,2018-03-16 21:09:51,"Great Application. Helpful for blood test results, prescription renewal, and communication with your Doctor.",5.0,data quality,14.0
122,Practo,2020-04-02 15:21:11,I gave feedback for a doctor 2 days ago. It has got published but it does not appear under the Recent section of the feedbacks for the doctor. Please resolve this issue.,1.0,support,32.0
123,MyChart,2019-06-10 07:05:18,Helps me out alot keep up with doc appts and get in contact with my doc I love it,5.0,data quality,19.0
124,Your Doctors - Online Doctor,2020-07-11 14:53:39,"You advertise to try a chat for free once the app is downloaded. Not true! I didn't see anywhere to try a free chat, just fees to sign up. False advertising!!",1.0,ethicality,31.0
125,FollowMyHealth,2021-10-04 15:07:40,"Keeping You Updated on all your personal health documents, appointments and Rx.",5.0,data quality,12.0
126,HealthTap,2013-10-13 14:34:29,"Helpful. Would love ability to refine results, but a free site with so much info is fabulous.",4.0,data quality,17.0
127,Doctor on Demand,2020-10-28 13:08:04,"Update: my second time using, still awesome.! Awesome experience.",5.0,reliability,9.0
128,FollowMyHealth,2019-10-04 23:05:46,Very well designed. Intuitive navigation and controls. Very Robust feature set.,5.0,reliability,11.0
129,MyChart,2021-11-02 16:42:51,"Very helpful! But how do I make it use my 4-digit code again? Since getting my new phone it demands password every time. Help me, please.",4.0,support,26.0
130,FollowMyHealth,2018-09-25 11:34:34,Helpful and user-friendly. The records and communication functions are very useful.,4.0,reliability,11.0
131,MyChart,2021-01-13 05:50:00,Easy to navigate. Reminders for everything. Updates you immediately when you receive test results or questionnaires. Easy to talk to your doctor via message. Easy to cancel and reschedule appointments in seconds.,5.0,data quality,32.0
132,Telehealth by SimplePractice,2023-08-04 14:57:46,Experience was good. Update takes too long and happens before I use the app,4.0,reliability,14.0
133,MyChart,2023-08-25 22:38:32,Easy to communicate with all my doctors. Great app!,5.0,reliability,9.0
134,MyChart,2022-06-26 20:01:04,It's very helpful it's easy to use for making appointment looking for my schedule with out weating Customer service by the phone I really like it thank you,4.0,reliability,28.0
135,United Healthcare,2023-08-22 08:53:27,Help if you gave the information you claim is available,2.0,data control,10.0
136,FollowMyHealth,2019-05-30 16:25:48,"Helps me to keep track of Blood draw results, and anything I've ever been seen for where it relates to (UK) [ University of Kentucky ] Healthcare.",5.0,data quality,27.0
137,FollowMyHealth,2018-12-10 21:17:51,"Helps me stay on top of my appointments, medications, test results, bills and allows me to communicate with my doctors directly.",5.0,data quality,21.0
138,MyChart,2023-11-22 20:10:40,Providers need to update information. Patients need to be able to update as well.,2.0,data quality,14.0
139,MyChart,2022-04-20 09:17:16,"The app is very people/Patient friendly easy to use and to function, makes easy for communication with doctors and hospital staff as well as making appointments, Love it.",5.0,reliability,28.0
140,FollowMyHealth,2019-03-15 17:23:48,Very convenient! Helps me stay up to date and easliy track my health.,5.0,data quality,13.0
141,My Health at Vanderbilt,2023-12-08 10:21:31,Great app!! Helps to stay in touch with my healthcare team and know the results of tests and procedures,5.0,reliability,19.0
142,healow,2018-09-16 13:05:09,Recently started to use. So far good as for first time using this app.,4.0,reliability,14.0
143,FollowMyHealth,2019-03-05 07:21:58,Easy to communicate with my doctors and other medical provider's. Great for getting refills for medication as well.,5.0,reliability,18.0
144,FollowMyHealth,2020-02-13 04:31:40,The app is a very good tool and I look forward to seeing it grow. I love the prescription request feature! Update... The fingerprint login addition is awesome!,4.0,reliability,28.0
145,MyChart,2021-09-13 16:02:19,"Accurate, quick, test results, easy messaging to my doctors, new mychart looks nicer, more options to share medical info. with other providers. Easy appt. scheduling.",5.0,data quality,25.0
146,healow,2022-04-01 13:36:36,Help me keep up on my doctor visit and current medical status .,5.0,data quality,13.0
147,FollowMyHealth,2019-01-11 12:47:24,Still getting used to it. Helpful though checking in on appointments and when you are due for things.,4.0,data quality,18.0
148,FollowMyHealth,2016-04-19 07:46:17,Helps to keep up and communicate with doctor and see results posted.,5.0,data quality,12.0
149,MyChart,2021-11-19 17:58:18,Your app DOES NOT WORK!!! Cannot use eCheck In. Will not go to medications. I have 2 phones and the app doesn't work on either phone. Fix your app!,1.0,reliability,29.0
150,MyChart,2017-11-03 22:30:18,Helpful for reminding me about my next appointment.,3.0,data control,8.0
151,healow,2020-12-28 09:14:40,Glitches at times and doesn't always seem to communicate with providers.,4.0,reliability,11.0
152,healow,2023-11-17 10:44:54,Repeated message alerts in the last two days and no new messages! Fix it! This is problematic when I have medical issues and communicate with my drs office through this app.,1.0,reliability,31.0
153,healow,2017-06-12 13:39:27,Really easy to use! Manage your meds and make appointments very quick. I recommend this to anyone who would need this!,5.0,data control,21.0
154,Mayo Clinic,2013-12-19 23:08:17,App closes on me over 75% of the time and gets pages mixed up while viewing. Fix those and it would be a great app.,2.0,reliability,25.0
155,FollowMyHealth,2017-07-19 21:29:08,I love that I can see all my records in an app. Helps me to stay on top of my health.,5.0,data control,21.0
156,Teladoc Health,2021-12-08 14:47:01,This app came up on a Facebook ad saying it was for mental health as well as medical. There is no mental health help at all. Misleading and disappointing.,1.0,ethicality,29.0
157,MyChart,2021-06-05 01:26:18,Currently having trouble getting onto my account because its saying that im putting in the wrong password when im not and i know my password by heart,3.0,reliability,27.0
158,FollowMyHealth,2019-09-18 19:10:36,"Good app. Helps me keep track of appointments and health stats. Some of the info isn't updated, though.",4.0,data control,18.0
159,FollowMyHealth,2018-12-11 13:15:36,Effective and informative. Easy place to get all my medical history in the conviency of an app!,5.0,data control,17.0
160,healow,2022-12-02 11:15:05,"Helps me keep up with my appointment and medications, I love the app.",5.0,data control,13.0
161,Practo,2021-02-16 22:16:17,"Not a useful app. Customer care has indifferent people,as if their sole purpose is to cancel your request or order.",1.0,support,20.0
162,Practo,2022-03-19 01:01:41,Help center is very bad. Not at all replying the queries. Very bad experience,1.0,support,14.0
163,healow,2022-03-08 14:47:33,"You have totally wrecked this app, 2-3 verifications to try and login. Completely a joke!!!",1.0,reliability,15.0
164,Teladoc Health,2021-11-08 20:14:01,Inconsistent and unreliable. Unable to message current providers. Makes it difficult to communicate. They also will randomly cancel visits claiming they can't get ahold of you.,2.0,reliability,26.0
165,FollowMyHealth,2017-03-04 18:05:18,Helps me to stay on top of my appointments,5.0,data control,9.0
166,MyChart,2024-03-14 02:25:00,"Broken since last update, can no longer log in. Can login via the website but not the app",1.0,reliability,18.0
167,MyChart,2022-06-26 07:33:47,Would not work out of country and said technical issues only for two weeks. No support.,3.0,reliability,16.0
168,MyChart,2019-09-17 08:51:37,"Easy to use. Incomplete info. I can't see my BP, weight and temp history from visits.",3.0,reliability,16.0
169,FollowMyHealth,2024-05-10 01:40:24,"Updated and now it crashes 1 second after signing in, everytime. Absolutely unusable.",1.0,reliability,13.0
170,healow,2021-01-31 18:04:50,Helps me keep up with my appointments and medications,5.0,data control,9.0
171,healow,2022-01-02 22:48:54,Can not access my Android cell phone Will not accept my password.Device is dead.Can only be used for emergency calls. The installed program (Healow) locked my phone. Help!!!!!!!!!!,1.0,reliability,28.0
172,healow,2021-12-14 08:46:21,Help me with remembering my Doctor appointment and the medication I take,5.0,data control,12.0
173,healow,2020-05-26 09:42:36,"Helps remind me of appointments, and other things, enjoy it. Makes things alot easier to keep up with.",3.0,data control,18.0
174,Your Doctors - Online Doctor,2020-04-16 09:27:58,Paid money for the app but I was put as spam. Do not get app. Help me get back into my account!,1.0,reliability,22.0
175,LiveWell with Advocate Aurora,2022-02-28 03:30:00,Not able to see test results or messages. Completely useless.,2.0,reliability,10.0
176,MyHealthONE,2020-12-29 21:03:13,"Stuck in a loop and can't login, changed password, won't update had to use the phone to pay a bill anyway. Fix your app!",1.0,reliability,24.0
177,MyChart,2024-07-18 06:24:02,Easy and fast. Helps your curiosity instead of waiting on doctor to call back.,5.0,data control,14.0
178,MyChart,2021-10-21 15:13:07,Updated and no longer works Dr. Appointment today and can't get into the information. Great job people for screwing it up. Worked fine before now,1.0,reliability,25.0
179,Ada,2017-07-16 16:26:56,Very easy to setup and use. It's surprisingly accurate. Helpful diagnosis.,5.0,data quality,11.0
180,United Healthcare,2020-03-14 11:47:04,"Nice, easy to use. Help me track my bills.",5.0,data control,9.0
181,Telehealth by SimplePractice,2023-08-15 13:54:10,"Keeps disconnecting repeatedly with good network connection. Literally won't stay connected more than 2 minutes. Update on 8/15/2023 did not improve this. OS is Android 7.1.2, Android OS updates are not available for my device.",1.0,reliability,35.0
182,Doctor on Demand,2022-02-24 11:49:04,The price has gone up since I used the app last but so has everything else in the world. Dependable and easy to use. They dont take my insurance so the cost was $69.,5.0,reliability,34.0
183,MyUPMC,2022-07-27 23:53:51,I was surprised how easy it was to use. Everything is straightforward. Viewing my test and lab reports was very informative and comprehensive. I'm impressed.,5.0,data control,25.0
184,MyChart,2020-10-21 16:29:44,"Terrible app. It never allows any access to. Removed it, downloaded again...same worthless results. Hope someone has a better app.",1.0,reliability,20.0
185,Teladoc Health,2022-01-17 21:38:34,Easy to use app. Clear features and easy to scroll and navigate. Customer service was fantastic on helping me recover my login info.,5.0,support,23.0
186,FollowMyHealth,2016-04-09 18:19:17,Fantastic. Helps me keep track of myself and in case I need some of the information for another doctor it is all right here,5.0,data control,24.0
187,MyChart,2022-07-14 12:26:39,"Epic software sux. Incomplete option choices, lack of important info like time of appointments for some categories. You want to see how ""Epically"" they waste our money, visit their corporate headquarters in Wisconsin.",1.0,reliability,33.0
188,FollowMyHealth,2016-08-07 12:51:18,Helps keep all my records and my family's available with the touch of a button!!,5.0,data control,15.0
189,MyChart,2022-01-08 11:02:34,I love 💕 this app. Helps me keep up with the info I need to remember,5.0,data control,16.0
190,MyChart,2022-01-21 16:49:31,I love having access to all my medical information. Full disclosure.,5.0,data control,11.0
191,MyChart,2020-07-08 14:34:07,I would NOT reccomend this to anyone . Installation is a nightmare. Help is not available. Good luck I could not get installed on my computer. Tried my provider twice. Good luck with that!,1.0,reliability,34.0
192,Teladoc Health,2022-08-10 07:00:30,Update the scheduling portion of the app so individuals can select an AM appointment,2.0,reliability,14.0
193,healow,2021-12-03 10:34:50,"Not reliable, cannot add multiple members of your household, even though it lists the option to do so. Glitches.",2.0,reliability,19.0
194,FollowMyHealth,2023-07-10 14:25:14,Update: No longer works since the update. Simply frustrating.,1.0,reliability,9.0
195,FollowMyHealth,2016-09-15 16:42:33,This app is great and easy to use!  Helpful in reminding me about upcoming appointments and a great resource for my medical information when I forget!!😂😂,5.0,data control,26.0
196,LiveWell with Advocate Aurora,2023-03-10 16:36:28,"I have biometric login enabled, but it keeps having me verify my identity every time I log in. Update: still having me verify my identity every time I log in. Very inconvenient.",2.0,reliability,32.0
197,Practo,2022-04-01 10:17:12,Help center is hopeless.. agents does not seem interested in solving issues.. toooo long silence,1.0,support,15.0
198,Telehealth by SimplePractice,2023-09-18 19:06:04,"Inconsistent performance, audio on BT sometimes works. Video is hit or miss, ""waiting for others to join"" constantly.",2.0,reliability,18.0
199,Ada,2019-10-13 23:10:00,Removed the app after finding out that it shares PRIVATE HEALTH DATA with THIRD PARTIES.,1.0,risk,15.0
200,healow,2022-10-19 18:36:00,"Worked okay with one doctor, now I've got another doctor that uses this app but for the life of me, I cannot link two Patient Portal accounts.",2.0,reliability,27.0
201,FollowMyHealth,2016-07-21 13:59:32,"Helps me keep track of appointments, medications and dx. Life made easy",5.0,data control,12.0
202,MyChart,2023-07-12 19:50:16,Slow! Biometrics doesn't work. Outdated design... --added-- Fingerprint scanner doesn't work with Android 14. Do the new security updates with Android. ---New--- With newest update 7/12/23 biometrics work again!,4.0,reliability,29.0
203,K Health ,2020-03-17 23:02:19,False advertising and the app doesn't really help with anything.,1.0,ethicality,10.0
204,MyChart,2022-01-12 12:42:36,Current issues with. Linked accounts. Makes it hard to do my health care needs,3.0,reliability,14.0
205,MyChart,2022-09-27 12:29:41,Helps me keep track of all my medical appointments and test results,5.0,data control,12.0
206,Doctor on Demand,2015-11-24 09:17:20,Love this service! Customer service was great as was my provider.,5.0,support,11.0
207,Labcorp,2021-01-21 07:47:21,Installed and Sophos Security software immediately identified this as a low reputation app that would introduce data security risks. Shame on LabCorp. This app will hold personal data as well as HIPAA data.,1.0,risk,33.0
